Name,lon,lat
Oriental Garden,-123.1941484,45.21417994
Chinese Tea Room,-123.2608772,44.5650133
Ming's,-123.1195696,44.076913
Chinese Lantern,-122.7834267,45.4933732
Kim's,-122.85201,42.3044422
,-122.633226,45.4185097
Canton,-118.7962698,45.6675338
Chin's Cafe,-123.3523698,43.201058
China Cafe,-123.0196998,44.9566675
China City Cafe,-123.0410395,44.9036901
Fortune Cookie,-123.1359542,44.8839021
Cathay Broiler,-123.9254817,45.9932974
Chungking Cafe ,-117.9106628,33.8363569
Man Fook Low,-118.2511548,34.0362663
Sheng Haw Low Cafe,-117.1623264,32.72658835
Pagoda Cafe,-119.2488956,35.7678052
Royal Canton Cafe,-117.2926095,33.0374095
Ming's,-118.1248403,33.8708284
Holly Cafe,-122.390885,40.584862
Toa Lee Yon,-122.406882,37.795288
Ednaray Restaurant,-121.9802068,37.2293915
Yee Hung Guey Cafe,-118.2377462,34.0658857
Woo's Garden,-118.3267264,33.93482243
Tuey Far Ven Cafe,-118.2246616,33.9741482
Young China Cafe,-118.1591815,34.0205683
Lem's Cafe,-118.2405989,34.0498094
Tao Tao Cafe,-122.03058,37.3765069
The Polynesian Restaurant,-117.2727949,32.8453906
Yuet Sue's Tea House,-119.313446,36.3095368
Lim's Cafe,-122.3861163,40.5980927
Sampan Cantonese Cuisine,-117.9584908,33.826877
Sheng Haw Low Restaurant,-117.072099,32.748746
Ace Chop Suey,-122.2226109,37.7760634
Asia Chop Suey,-118.3527083,33.8665372
Shanghai Low Cafe,-124.1520756,40.8048913
Western Steak House,-107.8813732,37.2709788
Far East Cafe,-108.5471513,39.0777056
Nanking Restaurant,-77.0452913,38.9094481
Peking Restaurant,-77.075368,38.963658
Sampan Cafe,-76.99672,38.885242
The Sun,-77.0420765,38.9235097
Gung Ho Restaurant,-77.0505349,38.8986756
Chin's Restaurant,-77.0523762,38.9240658
Tai Tung Restaurant,-77.0210103,38.9056459
Chinese Lantern,-80.9944529,29.19778
Limehouse Rstaurant,-80.124387,25.9301749
Eng's,-84.3838518,33.7809505
George's Restaurant,-117.02855,46.4039369
Hong Kong Cuisine,-112.4517698,42.8840261
Golden Dragon,-116.2035244,43.6139395
Shanghai Cafe,-112.4467064,42.8642856
Hong Kong Restaurant,-88.2576394,40.1305757
Jimmy Wong's,-87.6265419,41.8763133
Rice Bowl,-87.6569822,41.9646763
South Pacific Restaurant,-87.6288622,41.8844844
Young Sing Restaurant,-87.6428127,41.9291293
Won Kow,-87.6316785,41.8518564
Young Sing,-87.6453619,41.9330795
Lotus Garden,-86.1188557,39.8368801
24/66 Restaurant,-98.116851,39.4812532
Kim's Steak House,-97.6125558,38.8109892
Albert's,-97.2611126,37.6786428
Bob Lee's Lantern House,-71.0605693,42.3507412
Gamsun,-71.0602927,42.3506127
Lichee Garden,-71.0605975,42.3508386
China Royal,-71.1554915,41.7024096
Mark You Restaurant,-71.136241,41.6926971
Cathay House (approximate),-71.2993127,42.6309712
Tai Hong Restaurant,-70.9644089,42.4873088
Ming Chow's Restaurant,-71.0085664,42.3871416
Cathay City,-71.0443795,42.1669012
Ho Sai Gai,-71.152289,42.3037437
The Chin's,-71.1871989,42.2223926
Jimmy Wu's New China Inn,-76.6172029,39.3171449
New Sea Girt Inn,-76.5326533,39.1700362
Dragon Seed Inn (Approximate),-70.7439811,43.1003067
Bill Woo Chop Suey,-82.934631,42.4040153
Evergreen Gardens,-83.2438333,42.4296459
Pekin Pavilion,-82.998836,42.349111
Kin Chu Cafe and El Morocco Bar,-93.2754331,44.9773215
Yut Hing Cafe,-93.2294155,44.948605
Chu Wah Restaurant and Lounge,-90.2250112,38.6355848
The Oriental,-80.8438144,35.2281632
Canton Cafe,-78.6454146,35.7809457
Oriental Restaurant,-78.8997245,35.9951625
China House,-71.4630952,42.993225
Hawaiin Garden Motor Lodge (App),-70.8655074,42.8909615
New China Inn,-103.1960904,34.3983335
Chin's Pagoda Restaurant,-81.5654526,41.502776
China Gate,-81.5405249,41.5017772
Oriental Terrace Rest (approximate),-82.2016861,39.7099555
Chiam Restaurant,-81.7861566,41.4317044
Golden Lily Restaurant,-83.6641198,41.5993446
Chinese Village,-122.5787136,45.5186786
Golden Dragon Restaurant,-122.6732444,45.5218525
Hi Hat Restaurant,-122.7394487,45.4435876
Lotus Garden,-122.6943311,45.5232169
New Cathay,-122.5783664,45.5050767
Republic Cafe,-122.6742641,45.5249368
Silk Hat Cafe,-122.6618092,45.514246
Tai Ping Terrace,-122.7330351,45.4448469
Tea Garden Cafe,-122.6865686,45.5819393
The Pagoda,-122.6231905,45.5353533
Formosa Cafe,-122.6610189,45.576613
Three J's,-122.6746889,45.5248301
Pagoda Restaurant,-95.9749523,36.0904469
Wong's Restaurant,-121.7839281,42.2239075
Canton Cafe,-123.0554477,43.6935284
Sundown Cae (approximate),-110.1715572,34.9107458
Wing's,-112.0468452,33.4798882
Jerry Lee's Market,-110.9730637,32.2134672
Loo's Restaurant,-114.6251818,32.6891948
Jimmy's Oriental Gardens,-119.6986193,34.4221614
Bugle Cafe,-119.3430765,36.1922672
Rice Bowl,-119.3468004,36.208375
Chinese Village Restaurant,-75.1549713,39.9553886
Shanghai Gardens Restaurant,-75.1550169,39.9555909
Golden Dragon Restaurant,-80.0187018,40.4246575
Tea Garden Restaurant,-79.8951602,40.4548718
Hong Kong Restaurant,-101.8709176,35.2217469
Albert Gee's Ding Ho,-95.6620704,29.6452962
Cathay House,-97.4417376,32.7211199
Albert Gee's Ding Ho,-95.4051222,29.7074323
Hao Wah Restaurant,-95.3184708,29.7059345
Ding Ho Restaurant,-111.8890397,40.7630151
Ying's Famous Chinese American Food,-76.2116672,36.8716418
Canton Cafe,-123.8142679,46.9756611
New Moon Cafe,-122.2288948,47.3075924
Tea Garden Cafe (approximate),-120.5478474,46.9965144
Paragon Restaurant,-122.9372275,46.1379102
Rickshaw Inn,-122.633226,45.4185097
New Shanghai Cafe,-122.9023567,47.0438203
Soo Hoy Cafe,-122.6383235,47.5421151
,-110.9434453,32.2210402
Forbidden Island,-122.5646045,45.5579411
Foo Chow Restaurant,-122.6591418,45.5808646
New China Restaurant ,-87.7211022,42.0410692
Jerry's Ming House,-110.9434453,32.2210402
,-117.4200243,47.6590448
New Grand Cafe,-109.2201755,41.588451
Fong's Chinese Restaurant,-119.7450923,36.7429401
Woo's Pagoda,-91.47419,44.837166
Canton Cafe,-111.9702596,41.2194645
Gee's Restaurant,-95.38446826,29.82877823
Golden Dragon Cafe,-122.4833363,47.2075235
Golden Dragon Cafe,-123.885008,46.9775107
Bill Lee's Bamboo Chopsticks,-119.0156857,35.3750106
New Chinatown Restaurant and Cocktail Lounge,-106.5890155,35.0787225
House of Lee,-90.1539972,30.0040868
Tai Wan Cafe,-122.2129199,47.7505723
Lee's Cafe,-120.4355369,34.954639
South China Cafe,-122.3115407,47.5788152
3 Towers Restaurant,-97.875305,36.4226403
Mikayo's,-117.1720453,32.72574156
Chiam,-87.631613,41.851472
Oriental Restaurant,-68.7688049,44.8022059
Chungking Restaurant,-117.375732,33.982506
Chinese Palace Restaurant,-81.9019983,41.4151369
Hong Kong Restaurant,-81.486821,41.4618455
Hung Far Low,-122.674308,45.5240843
Sunlite Cafe,-122.2100145,47.4794561
Far East,-117.339205,47.65698599
China Doll Restaurant,-76.6184565,39.2943556
Wee's Cafe,-112.1498684,33.4808285
Dorothy Wong's East Wind Restaurant,-82.9201745,42.4798199
The Peach Garden,-90.2340372,38.6386504
Sun Chong Lung Chinese Merchandise and Grocery,-87.632254,41.852308
China Village,-111.8811233,40.885856
Oriental Terrace Rest,-81.5352153,41.4143421
Moy's Chinese Restaurant,-80.1437014,26.0127949
Chinalane,-81.6791686,41.5014739
Formosa,-80.2861738,25.7069554
Dan Chan Restaurant,-71.7760441,42.5808848
Hong Kong Cafe,-122.3254225,47.5980425
Louie's Golden Dragon,-116.2124611,43.6190241
China Clipper,-117.0040454,46.4246065
Jimmy Wong's Golden Dragon,-117.1612846,32.7484788
,-122.6610382,45.5766181
New Sea Girt Inn 8044 Smallwood Rd.,-76.530876,39.167775
China Land,-117.2075417,32.749959
Golden Buddha,-82.5732662,27.4154392
Al's Chop Suey,-122.2205432,37.7749088
Oriental Kitchen,-77.0876749,38.862535
Eng's Restaurant,-76.2070274,36.858219
Good Earth Restaurant,-73.9826065,40.7787731
Lotus Room,-90.3461255,38.6330085
Gang Sue's Teagarden,-119.0255509,36.0865766
Rice Bowl,-121.865739,39.761481
Rice Bowl,-120.490164,37.303066
Yangtze Restaurant,-117.6504923,34.0641073
George Ching's The Golden Lion,-118.0362565,34.0687818
Lem's Restaurant,-118.6074026,34.2012705