Object Number,Restuarant Name,Restaurant Street address,Restaurant City,State,year opened,year closed,Owner surname(s),Is it in the 1960 Catalog?,pattern,earliest year for artifact,latest year for artifact,Pattern varient,Additional Design,Vessel form,rim diameter (cm),vessel height (in cm),thickness of vessel walls (in mm),thickness of lip (in mm),foot rim diameter (cm),height of foot (in mm),Mark (use letter code sheet),"sticker (use code, 0=none)",volume of cup or teapot in ml,weight (in grams),Additional design
FSL-163,Ding Ho Cafe,73 E. 3rd. South,Salt Lake City,UT,1953,1977,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,5.70 mm,,5.00 cm,,D,0,,105.80 g,
FSL-361,Dorothy Wong's East Wind Restaurant ,19160 Ten Mile Rd.,East Detroit,MI,,,,,God of Longevity,,,GL III,Red Chinese characters above address,ashtray ,,,,,,,D,0,,,Foods to take out/ Phone 771-7420
FSL-179,Dragon Seed Restaurant ,Route #1,Kittery,ME,1960,1980,,,Women/Characters,,,,Red Dragon Logo in Circle with Characters,Tea Cup,8.00 cm,5.00 cm,7.85 mm,8.20 mm,4.00 cm,2.00 mm,D,0,100.00 ml,179.13 g,
FSL-180,Dragon Seed Restaurant ,Route #1,Kittery,ME,1960,1980,,,Women/Characters,,,,Red Dragon Logo in Circle with Characters,Tea Cup,8.00 cm,5.00 cm,7.82 mm,8.05 mm,4.00 cm,2.00 mm,D,0,100.00 ml,177.75 g,
FSL-181,Dragon Seed Restaurant ,Route #1,Kittery,ME,1960,1980,,,Bird/Flowers,,,B-III,Red Dragon Logo in Circle with Characters,Tea Cup,8.00 cm,5.00 cm,8.05 mm,8.83 mm,4.00 cm,2.00 mm,D,0,90.00 ml,183.87 g,
FSL-092,Ednaray Restaurant,406 N. Santa Cruz Ave.,Los Gatos,CA,1963,1997,,,Individualized Logo,,,,Pagoda and Green Border,Tea Cup,7.50 cm,5.00 cm,8.67 mm,7.83 mm,4.00 cm,2.00 mm,D,0,90.00 ml,183.11 g,
FSL-213,ENG ,,Atlanta,GA,,,,,Dragon/Phoenix,,1983,A-VI,,Tea Cup,7.50 cm,5.00 cm,4.25 mm,2.72 mm,3.00 cm,4.00 mm,G,0,100.00 ml,89.95 g,
FSL-070,Eng's Grill,26 South 2nd. St.,Yakima,WA,,,,,Dragon/Phoenix,,1983,A-IV,,Tea Cup,8.00 cm,5.00 cm,4.85 mm,7.25 mm,4.00 cm,2.00 mm,B,0,110.00 ml,142.88 g,
FSL-328,Eng's Restaurant ,244 Janaff Shopping Center,Norfolk,VA,,,,,God of Longevity,,,GL III,3 Chinese characters above address,ashtray,,,,,,,D,Yes; Japan,,,Orders to take out; Phone UL--3-2948
FSL-143,Evergreen Gardens,20430 W. Seven Mile Rd.,Detroit,MI,,,,,Women/Characters,,,,,Tea Cup,8.00 cm,5.00 cm,5.42 mm,7.10 mm,4.00 cm,3.00 cm,B,0,110.00 ml,138.19 g,
FSL-145,Evergreen Gardens,20430 W. Seven Mile Rd.,Detroit,MI,,,,,Women/Characters,,,,,Saucer,12.50 cm,2.00 cm,4.53 mm,,7.00 cm,,B,0,,143.96 g,
FSL-355,Far East,E. 4824 Sprague,Spokane,WA,,,,,God of Longevity,,,GL III,5 Chinese characters below address,ashtray ,,,,,,,E,0,,,
FSL-320,Far East ,E. 4824 Sprague,Spokane,WA,,,,,Bird and Flower,,,BF III,2 Chinese characters above address,ashtray,,,,,,,E,0,,,
FSL-322,Far East ,E. 4824 Sprague,Sprague,WA,,,,,Bird and Flower,,,BF III,2 black script Chinese characters above address and 4 red characters below address,ashtray,,,,,,,E,0,,,
FSL-280,Fong's Chinese Restaurant For Better Liivng,4608 E. Tulare St.,Fresno,CA,1960,2025,"Tommy A Fong, Gon Dai Fong",,women/Characters,,,C-VI,Chinese characters,tea bowl,7.50 cm,5.35 cm,6.53 mm,6.5 mm,3.78 cm,2 mm,B,no,93 ml,149.67 g,
FSL-294,Foo Chow,535 N.E. Columbia Blvd.,Portland,OR,1955,, ,,Dragon/Phoenix,,1983,,,Tea Cup,7.60 cm,5.20 cm,5.90 mm,7.20 mm,3.70 cm,2.00 mm,B,0,102.00 ml,151.8 g,
FSL-298,Foo-Chow,535 N.E. Columbia Blvd.,Portland,OR,1955,,,,Dragon/Phoenix,,1983,DP-IV,,,,,,,,,,,,,
FSL-298,Foo-Chow,535 N.E. Columbia Blvd.,Portland,OR,1955,,,,Dragon/Phoenix,,1983,DPIV,,Tea Cup,7.6 cm,5.2 cm,4.5 mm,6.6 mm,3.7 cm,2 mm,B,0,110 ml,138.5 g,chinese characters below address
FSL-014,Formosa Cafe,7410 N. E. Union Ave.,Portland,OR,1952,2015,"Tom Fong, William Chin",,Dragon/Phoenix,,1983,A-VI,,Tea Cup,8,5.50 cm,6.50 mm,7.63 mm,4.00 cm,5.00 mm,G,0,110.00 ml,158.40 g,
FSL-300,Formosa Cafe,7410 N.E. Union Ave.,Portland,OR,1952,2015,"Tom Fong, William Chin",,Dragon/Phoenix,,1983,DPVI,,Tea Cup,7.6 cm,5.4 cm,6.3 mm,7.2 mm,3.7 cm,5 mm,C,0,110 ml,146.9 g,Phone 285-2922 chinese characters below address
FSL-312,Formosa Restaurant,5716 S. Dixie Highway,South Miami,FL,,,,,two women/characters,,,TW I,Woman in robe with sun behind,Tea Cup,7.6 cm,5.3 cm,5.8 mm,6.5 mm,3.7 cm,5 mm,,0,109 ml,143 g,Orders to take out/ Phone MO-5-3881
FSL-350,Formosa Restaurant,5716 S. Dixie Highway,South Miami,FL,,,,,two women/characters,,,TW I,figure with sun behind left of address/ four Chinese characters above address,Tea Cup,,,,,,,D,0,,,Orders to take out/ Phone MO-5-3881
FSL-003,Fortune Cookie,4900 N. River Rd.,Salem,OR,1971,1988,,,Dragon/Phoenix,,1983,A-VI,,Tea Cup,8,5.50 cm,5.37 mm,5.60 mm,4.00 cm,5.00 mm,C,0,130.00 ml,128.00 g,
FSL-204,Gamsun,21 Hudson Street,Boston ,MA,1940,1962,,,Women/Characters,,,,Mountain with a Sky Pagoda and Palm Tree,Tea Cup,8.00 cm,5.50 cm,5.77 mm,7.79 mm,4.00 cm,3.00 mm,B,0,120.00 ml,152.57 g,
FSL-115,Gang Sue's Teagarden,1200 N. Main,Porterville ,CA,1949,1990–1999,,,God of Longevity,,,,"Playful use of ""T"" in Teahouse to form ""TSUE""",Ash Tray,10.00 cm,2.50 cm,4.75 mm,,5.00 cm,,G,0,,95.07 g,
FSL-387,Gee's Restaurant,Airline at Crosstimbers,Houston,Texas,1954,2022,Gee (Gordon Cuoy Gee and Betty Chen Gee),,Bird and Flower ,,,BF III,2 red Chinese characters above name,ashtray,,,,,,,D,0,,,Chinese & American Food; Phone OX-2-2064
FSL-082,Gene's Grill,3224 E. 45th.,Seattle,WA,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,4.84 mm,,5.00 cm,,D,0,,93.01 g,
FSL-354,generic,,,,,,,,two women/characters,,,TW II,4 Chinese characters/ gold trim at rim of cup,Tea Cup,,,,,,,D,0,,,
FSL-356,generic,,,,,,,,Dragon and phoenix,,1983,DP VII,,Tea Cup,,,,,,,C,0,,,
FSL-357,generic,,,,,,,,two women/characters,,,TW II,4 Chinese characters,Tea Cup,,,,,,,E,0,,,
FSL-358,generic,,,,,,,,Dragon,1983,,RD,Gold trim at base/ addition of rising sun and green clouds/ two characters above clouds,Tea Cup,,,,,,,C,0,,,
FSL-125,George Ching's The Golden Lion,3311 N. Tyler Ave.,El Monte,CA,1967,1994,Ching,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,5.57 mm,,5.00 cm,,D,Yes: Japan,,91.11 g,
FSL-276,George's Restaurant ,,North Lewiston,ID,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,5.68 mm,,5.00 cm,,D,Yes: Japan,,99.13 g,
FSL-352,giftware,,,,,,,,Custom pattern,,,,Gold painted honeycomb pattern with 3 circular characters around outer surface,Tea Cup,,,,,,,D,0,,,Matching saucer FSL-353
FSL-353,giftware,,,,,,,,Custom pattern,,,,Gold painted honecomb pattern around rim of saucer with 3 circular shapes containing Chinese characters/ matching pattern with cup FSL-352,Saucer,,,,,,,D,0,,,
FSL-043,Golden City Cafe,3812 So. Yakima Ave.,Tacoma,WA,1960,,"George Low, Louie Lung",,Women/Characters,,,,,Tea Cup,7.50 cm,5.00 cm,6.36 mm,8.12 mm,4.00 cm,2.00 mm,D,0,110.00 ml,151.62 g,
FSL-046,Golden City Cafe,3812 So. Yakima Ave.,Tacoma,WA,1960,,"George Low, Louie Lung",,Dragon/Phoenix,,1983,A-IV,,Tea Cup,7.50 cm,5.00 cm,5.50 mm,7.00 mm,3.50 cm,3.00 mm,B,0,110.00 ml,137.50 g,
FSL-391,Golden Dragon,1042 W. Highland Ave.,San Bernardino,CA,,,,,Custom Pattern,,,0,Golden Dragon; 2 Chinese characters at the right of address; 2 Chinese characters at the left of address,ashtray,,,,,,,D,0,,,Free Parking; food to go; Phone TU-3-3719
FSL-042,Golden Dragon Cafe,5415 So. Tacoma Way,Tacoma,WA,1951,1982,"James S Look, George Lee,",,Women/Characters,,,,,Tea Cup,7.50 cm,5.00 cm,5.65 mm,7.06 mm,3.50 cm,3.00 mm,B,0,110.00 ml,133.63 g,
FSL-311,Golden Dragon Cafe,5415 So Tacoma Way??,Tacoma,WA,1951,1982,"James S Look, George Lee,",,two women/characters,,,TW I,Black dragon with chinese characters to left,Tea Cup,7.6 cm,5 cm,6.3 mm,7.8 mm,3.7 cm,2 mm,B,0,104 ml,152.3 g,
FSL-321,Golden Dragon Cafe,710 Simpson,Hoquim,WA,,,,,God of Longevity,,,GL III,4 red characters below GofL,ashtray,,,,,,,G,0,,,Food to take out Phone GE-9-0510
FSL-374,Golden Dragon Cafe,So. Tacoma Way,South Tacoma,WA,,,,,Dragon/Phoenix,,1983,DP IV,2 Chinese characters inner rim of cup,tea cup,,,,,,,B,0,,,
FSL-392,Golden Dragon Cafe,710 Simpson Ave.,Hoquiam,WA,,,,,God of Longevity ,,,GL III,4 Chinese characters below GL,ashtray,,,,,,,G,0,,,Food to take out; Phone GE-S-0510
FSL-405,Golden Dragon Cafe,So. Tacoma Wa,South Tacoma,WA,,,,,Dragon and Phoenix,,1983,DP III,2 red Chinese characters inside of cup,,,,,,,,B,0,,,
FSL-209,Golden Dragon Restaurant ,1012 Saw Mill Run Blvd.,Pittsburgh,PA,,,,,Women/Characters,,,,"Black and White Dragon, Possibly with a Pearl",Tea Cup,7.50 cm,5.00 cm,6.04 mm,7.93 mm,4.00 cm,3.00 mm,D,0,110.00 ml,143.90 g,
FSL-268,Golden Pagoda,Los Angeles Chinatown,Los Angeles ,CA,1938,1980–1989,,,Individualized Logo,,,,Red Tall Pagoda/Tower,Butter/Soy Dish ,10.00 cm,2.00 cm,2.41 mm,,5.50 cm ,,D,Yes: Japan ,,46.67 g,
FSL-269,Golden Pagoda,Los Angeles Chinatown,Los Angeles ,CA,1938,1980–1989,,,Individualized Logo,,,,Red Tall Pagoda/Tower,Butter/Soy Dish ,10.00 cm,2.00 cm,2.56 mm,,5.50 cm,,D,0,,48.14 g,
FSL-334,Good Earth Restaurant,212 W. 72nd St.,New York City,NY,,,,,Two Women,,,TW I,circular stamp with woman playing traditional duxianqin and three chinese characters to left of address,saucer,,,,,,,D,Yes; Japan,,,Phone TR-7-3240
FSL-193,Gung Ho Restaurant,4406 G. Street N.W.,Washington,DC,,,,,Dragon/Phoenix,,1983,A-IV,,Tea Cup,8.00 cm,5.50 cm,5.53 mm,6.80 mm,4.00 cm,5.00 mm,B,0,120.00 ml,136.70 g,
FSL-271,Hao Wah Restaurant ,3018 So. Wayside,Houston,TX,,,,,Women/Characters,,,,Eight Symbols ,Tea Pot (Short Spout and Thick),8.00 cm,11.00 cm,,,8.00 cm,,B,0,600 ml ,539.60 g,
FSL-175,Hawaiian Garden Motor Inn-Restaurant,Route U.S. #1,Seabrook,NH,1960–1969,1980–1989,,,Women/Characters,,,,,Tea Cup,8.00 cm,5.50 cm,5.87 mm,6.77 mm,4.00 cm,5.00 mm,C,0,110.00 ml,135.47 g,
FSL-176,Hawaiian Garden Motor Inn-Restaurant,Route U.S. #1,Seabrook,NH,1960–1969,1980–1989,,,Women/Characters,,,,,Tea Cup,8.00 cm,5.50 cm,5.88 mm,6.61 mm,4.00 cm,5.00 mm,H,0,110.00 ml,142.88 g,
FSL-215 ,Hi Hat  ,11311 S. W. Barbur Blvd. ,Portland,OR,1955,2011,,,Women/Characters,,,,Hat Design,Tea Cup,7.50 cm,5.00 cm,5.13 mm,7.22 mm,4.00 cm,2.00 mm,D,0,110.00 ml,133.35 g,
FSL-038,Hi Hat Restaurant,11311 S. W. Barbur Blvd.,Portland,OR,1955,2011,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,4.31 mm,5.07 mm,5.00 cm,,D,0,,96.00 g,
FSL-205,Ho Sai Gai,1020 W. Roxbury Pkwy.,South Brookline,MA,,,,,Dragon/Phoenix,,1983,A-VIII,Woman in Imperial Dress Holding a Tray,Tea Cup,8.00 cm,5.50 cm,5.97 mm,8.25 mm,4.00 cm,3.00 mm,B,0,120.00 ml,142.96 g,
FSL-133,Ho-Toy Lo,515 N. Jefferson St. (Behind Armory),Peoria,IL,,,,,Women/Characters,,,,,Tea Cup,8.00 cm,5.50 cm,6.56 mm,7.55 mm,4.00 cm,5.00 mm,G,0,110.00 ml,154.65 g,
FSL-292,Ho-Toy Lo,515 N. Jefferson St. (Behind Armory),Peoria,IL,,,,,,,,,,,,,,,,,,,,,
FSL-090,Holly Cafe,1429 Market St.,Redding,CA,,,,,Women/Characters,,,C-III,,Tea Cup,8.00 cm,5.50 cm,5.88 mm,6.84 mm,4.00 cm,5.00 mm,G,0,120.00 ml,134.37 g,
FSL-306,Holly Cafe,,Reddings,CA,,,,,Dragon/Phoenix,,1983,DPV,,Tea Cup,7.6 cm,5 cm,5.1 mm,6.7 mm,3.3 cm,2 mm,B,0,106 ml,118.7 g,Chinese characters below address/ Also take out orders
FSL-057,Hong Kong Cafe,507 Maynard Ave.,Seattle,WA,,,,,Dragon/Phoenix,,1983,A-III,,Tea Cup,8.00 cm,5.00 cm,5.84 mm,7.00 mm,4.00 cm,2.00 mm,D,0,110.00 ml,148.00 g,
FSL-364,Hong Kong Cafe,507 Maynard Ave.,Seattle,WA,,,,,Dragon/Phoenix,,1983,DP III,4 Chinese characters inside bowl,Small bowl,,,,,,,B,0,,,
FSL-138,Hong Kong Restaurant,,Champaign,IL,,,,,Women/Characters,,,,,Plate (Round),16.00 cm,2.00 cm,4.09 mm,,9.50 cm,,A,0,,211.36 g,
FSL-148,Hong Kong Restaurant,3011 Amarillo Blvd. on Highway 66 & 60,Amarillo,TX,1955,1992,Jew/Chew,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,4.47 mm,,5.00 cm,,D,0,,91.89 g,
FSL-287,Hong Kong Restaurant,New Chinatown,Los Angeles ,CA,,,,,Dragon/Phoenix,,1983,A-IV,Chinese Characters,tea bowl,7.52 cm,5.2cm,4.6 mm,6.9 mm,3.75 cm,2 mm,B,0,96 ml,126.5,
FSL-389,Hong Kong Restaurant,27139 Chagrin Blvd.,Cleveland,OH,,,,,God of Longevity ,,,GL I,3 Chinese characters at right side of address,ashtray,,,,,,,E,0,,,Orders to go; Phone 831-1818 (smudged)
FSL-394,House of Lee,0,Metairie,LA,,,,,Two Women,,,TW I,Town depicted with gate and 3 Chinese characters below ,tea cup,,,,,,,D,0,,,
FSL-368,Hung Far Low,112 N.W. 4th Ave.,Portland ,OR,,,,,Custom flower print (to add to patter identification),,,,3 Chinese characters in cup along rim,tea cup,,,,,,,B,0,,,
FSL-079,Jade Place,706 Main Street ,Vancouver,WA,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,4.26 mm,,5.00 cm,,G,0,,84.47 g,
FSL-081,Jade Place,706 Main Street ,Vancouver,WA,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,5.31 mm,,5.00 cm,,D,0,,107.28 g,
FSL-284,Jas Louie's Cafe,3555 Genesee St at Ranier,Seattle,WA,,,,,Bird and flower,,,B-III,stylized chinese characters,tea bowl,7.16 cm,4.96 cm,8.39 mm,8.46 mm,3.79 cm,2.0 mm,D,no,82ml,172.22,
FSL-313,Jerry's Ming House,1900 E. Broadway,Tucson,AZ,,,,,Dragon/Phoenix,,1983,DP I ,Chinese characters to left and right of address,Tea Cup,7.4 cm,5.2 cm,3.05 mm,3.4 mm,3 cm,3 mm,J,0,109 ml,76.4 g,Food to take out/ Phone 4-1261
FSL-314,Jerry's Ming House,1900 E. Broadway,Tucson,AZ,,,,,Dragon/Phoenix,,1983,DP I,Chinese characters to left and right of address,Tea Cup,7.4 cm,5.2 cm,3.15 mm,3.4 mm,3 cm,3 mm,J,0,109 ml,74.5 g,Food to take out/ Phone 4-1261
FSL-315,Jerry's Ming House,1900 E. Broadway,Tucson,AZ,,,,,Dragon/Phoenix,,1983,DP I,Chinese characters to left and right of address,Tea Cup,7.4 cm,5.2 cm,3.2 mm,3.3 mm,3 cm,3 mm,J,0,109 ml,79. 2 g,Food to take out/ Phone 4-1261
FSL-316,Jerry's Ming House,1900 E. Broadway,Tucson,AZ,,,,,Dragon/Phoenix,,1983,DP I,Chinese characters to left and right of address,Tea Cup,7.4 cm,5.2 cm,3 mm,3.2 mm,3 cm,3 mm,J,0,108 ml,72.2 g,Food to take out/ Phone 4-1261
FSL-317,Jerry's Ming House,1900 E. Broadway,Tucson,AZ,,,,,Dragon/Phoenix,,1983,DP I,Chinese characters to left and right of address,Tea Cup,7.4 cm,5.2 cm,3.4 mm,3.3 mm,3 cm,3 mm,B,0,108 ml,71.5 g,Food to take out (smudged)/ Phone 4-1261
FSL-286,Jery's Ming House,1900 E. Broadway,Tucson,AZ,,,,,Dragon/Phoenix,,1983,A-I,Chinese characters,tea bowl,7.45 cm,5.25cm,2.9 mm,2.5 mm,3.25 cm,3.5 mm,B,no,96 ml,73.3,
FSL-134,Jimmy Wong's,,Chicago,IL,1957,1997,,,Dragon/Phoenix,,1983,A-III,Smiling Buddha,Tea Cup,7.50 cm,5.00 cm,7.77 mm,5.49 mm,4.00 cm,2.00 mm,D,0,110.00 ml,137.95 g,
FSL-301,Jimmy Wong's Golden Dragon,414 University Ave. ,San Diego ,CA,,,,,Dragon/Phoenix,,1983,DPIV,,Tea Cup,7.6 cm,5.2 cm,5.6 mm,7.2 mm,3.7 cm,2 mm,B,0,108 ml,148. 7 g,Foods to take out/ Phone CY-6-4119
FSL-166,Jimmy Wu's New China Inn,2430 North Charles Street,Baltimore,MD,1948,1983,,,Women/Characters,,,,Face,Tea Cup,8.00 cm,5.00 cm,5.23 mm,6.48 mm,4.00 cm,3.00 mm,B,0,110.00 ml,144.06 g,
FSL-167,Jimmy Wu's New China Inn,2430 North Charles Street,Baltimore,MD,1948,1983,,,Women/Characters,,,,,Tea Cup,8.00 cm,5.50 cm,6.13 mm,6.48 mm,4.00 cm,5.00 mm,H,0,130.00 ml,138.92 g,
FSL-168,Jimmy Wu's New China Inn,2430 North Charles Street,Baltimore,MD,1948,1983,,,Women/Characters,,,,,Tea Cup,8.00 cm,5.50 cm,6.30 mm,6.66 mm,4.00 cm,5.00 mm,H,0,130.00 ml,142.51 g,
FSL-171,Jimmy Wu's New China Inn,2430 North Charles Street,Baltimore,MD,1948,1983,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,6.12 mm,,5.00 cm,,E,0,,106.85 g,
FSL-283,Jimmy's Oriental Gardens,,Santa Barbara,CA,1947,2006,,,two women/characters,,,C-VII,chinese characters,tea bowl,7.55 cm,5.1 cm,8.5 mm,8.1 mm,3.88 cm,2.2 mm,D,no,100 ml,175.59,
FSL-114,Joy Yuen Low,425 Gin Ling Way,Los Angeles,CA,,,,,yellow lustre/flower,,1960,,Wen,Tea Cup,8.00 cm,5.50 cm,3.75 mm,5.83 mm,3.00 cm,5.00 mm,B,0,110.00 ml,105.19 g,
FSL-099,Kaye's Korner,,Arlington,CA,,,,,Women/Characters,,,,,Tea Cup,7.50 cm,5.00 cm,5.31 mm,7.48 mm,4.00 cm,2.00 mm,D,0,110.00 ml,134.68 g,
FSL-013,Kim's Restaurant,2321 S. Pacific Highway,Medford,OR,1951,2005,,,Women/Characters,,,,,Tea Cup,8,5.50 cm,5.50 mm,7.32 mm,4.00 cm,2.00 mm,B,0,110.00 ml,140.00 g,
FSL-157,Kim's Steak House,1839 South Ninth,Salina,KS,1953,1982,,,Individualized Logo,,,,Picture of a Steaming Steak and Restuarant Name in Cocktail Napkin Style Circle,Ash Tray,10.00 cm,2.50 cm,7.75 mm,,5.00 cm,,G,0,,99.94 g,
FSL-159,Kin Chu Cafe and El Morroco Bar,725 Hennepin Ave.,Minneapolis,MN,,,,,Dragon/Phoenix,,1983,A-IV,,Tea Cup,8.00 cm,5.00 cm,5.46 mm,7.45 mm,4.00 cm,2.00 mm,B,0,110.00 ml,139.95 g,
FSL-214,King Wah Tavern,,Fort Erie ,"Ontario, Canada",,,,,Dragon/Phoenix,,1983,,,Tea Cup,7.50 cm,5.00 cm,4.95 mm,5.76 mm,3.50 cm,3.00 mm,,0,110.00 ml,115.65 g,
FSL-324,Latern Cafe,354 Broadway,Idaho Falls,ID,,,,,custom,,,,Green and pink dragon holding sign,ashtray,,,,,,,D,0,,,Genuine Chinese Food;Phone JA-3-4624
FSL-406,Lee's,0,Santa Maria,CA,,,,,Two Women,,,TW I,1 Chinese character to right of restaurant name,saucer,,,,,,,D,0,,,
FSL-098,Lem's Cafe,320 E. First St.,Los Angeles,CA,,,,,Women/Characters,,,,,Tea Cup,7.50 cm,5.00 cm,5.64 mm,7.09 mm,4.00 cm,2.00 mm,D,0,110.00 ml,135.93 g,
FSL-123,Lem's Restaurant,22039 Sherman Way,Canoga Park,CA,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,5.77 mm,,5.00 cm,,D,0,,98.78 g,
FSL-104,Lim's Cafe,592 N. Market St.,Redding,CA,1957,2023,,,Women/Characters,,,,Depiction of Restaurant's Neon Sign,Tea Cup,8.00 cm,5.00 cm,6.04 mm,7.74 mm,4.00 cm,2.00 mm,D,0,110.00 ml,149.72 g,
FSL-116,Lim's Cafe,592 N. Market St.,Redding,CA,1957,2023,,,God of Longevity,,,,Depiction of Restaurant's Neon Sign,Ash Tray,10.00 cm,2.50 cm,4.95 mm,,5.00 cm,,D,0,,92.85 g,
FSL-182,Limehouse Restaurant Chinese-American Food,215 Sunny Isles Blvd.,Miami Beach,FL,1952,1982,,,Bird/Flowers,,,B-I ,,Tea Cup,8.00 cm,5.00 cm,6.44 mm,7.42 mm,4.00 cm,5.00 mm,C,0,120.00 ml,143.37 g,
FSL-183,Limehouse Restaurant Chinese-American Food,215 Sunny Isles Blvd.,Miami Beach,FL,1952,1982,,,Bird/Flowers,,,B-I,,Tea Cup,8.00 cm,5.00 cm,6.09 mm,7.30 mm,4.00 cm,5.00 mm,C,0,120.00 ml,143.12 g,
FSL-184,Limehouse Restaurant Chinese-American Food,215 Sunny Isles Blvd.,Miami Beach,FL,1952,1982,,,Bird/Flowers,,,B-I,,Tea Cup,8.00 cm,5.00 cm,6.17 mm,7.30 mm,4.00 cm,5.00 mm,C,0,120.00 ml,142.00 g,
FSL-185,Limehouse Restaurant Chinese-American Food,215 Sunny Isles Blvd.,Miami Beach,FL,1952,1982,,,Bird/Flowers,,,B-I,,Tea Cup,8.00 cm,5.50 cm,6.14 mm,7.85 mm,3.50 cm,5.00 mm,C,0,110.00 ml,145.76 g,
