Object Number,Restuarant Name,Restaurant Street address,Restaurant City,State,year opened,year closed,Owner surname(s),Is it in the 1960 Catalog?,pattern,earliest year for artifact,latest year for artifact,Pattern varient,Additional Design,Vessel form,rim diameter (cm),vessel height (in cm),thickness of vessel walls (in mm),thickness of lip (in mm),foot rim diameter (cm),height of foot (in mm),Mark (use letter code sheet),"sticker (use code, 0=none)",volume of cup or teapot in ml,weight (in grams),Additional design
FSL-186,Limehouse Restaurant Chinese-American Food,215 Sunny Isles Blvd.,Miami Beach,FL,1952,1982,,,Bird/Flowers,,,B-I,,Tea Cup,8.00 cm,5.50 cm,5.95 mm,7.64 mm,3.50 cm,5.00 mm,C,0,110.00 ml,138.04 g,
FSL-188,Limehouse Restaurant Chinese-American Food,215 Sunny Isles Blvd.,Miami Beach,FL,1952,1982,,,Bird/Flowers,,,B-I,,Tea Cup,8.00 cm,5.50 cm,6.08 mm,7.75 mm,4.00 cm,5.00 mm,C,0,110.00 ml,137.80 g,
FSL-156,Loo's Restaurant,,Yuma ,AZ,1950,1977,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,6.00 mm,,5.00 cm,,D,0,,100.10 g,
FSL-149,Lotus Garden,Indianapolis: 4424 Allisonville Road,Indianopolis and Greenwood,IN,1965,1999,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,4.45 mm,,5.00 cm,,G,Yes: Japan,,91.04 g,
FSL-034,Lotus Gardens,2101 W. Burnside,Portland,OR,1955,1963,,,God of Longevity,,,,,Ash Tray,10,2.50 cm,4.86 mm,4.40 mm,5.00 cm,,D,0,,93.50 g,
FSL-400,Lotus Gardens,2101 W. Burnside ,Portland,OR,,,,,Two Women,,,TW I,2 Chinese characters above address,tea cup,,,,,,,B,0,,,Orders To Take Out; Phone CA-3-3289
FSL-325,Lotus Room,1143 Brentwood Blvd.,Richmond Heights,MO,,,,,Bird and Flower,,,BF III,2 Chinese characters at either side of address ,ashtray,,,,,,,D,0,,,Carry out orders; Phone PA-1-1156
FSL-274,Louie's Golden Dragon,,Boise ,ID,,1964,,,yellow lustre/flower,,1960,,Four Symbols ,Tea Cup,7.50 cm,5.50 cm,4.92 mm,7.09 mm,3.5 cm,5.0 mm,B,0,110 ml,116.48 g,
FSL-369,Louie's Golden Dragon,801 Grove St.,Boise,ID,,,,,Dragon/Phoenix,,1983,DP III,2 Chinse characters- 1 to each side of address,tea cup,,,,,,,E,0,,,Phone 343-231
FSL-059,Louie's Restaurant,2819 N. Division,Spokane,WA,1963,1991,,,Women/Characters,,,,,Tea Cup,8.00 cm,5.50 cm,6.74 mm,7.77 mm,3.50 cm,5.00 mm,C,0,110.00 ml,152.00 g,
FSL-056,Main Yon Cafe,5229 South Tacoma Way,Tacoma,WA,1960,,Tom Yon,,Women/Characters,,,,,Tea Cup,7.50 cm,5.00 cm,4.25 mm,7.28 mm,4.00 cm,2.00 mm,B,0,110.00 ml,133.35 g ,
FSL-077,Main Yon Cafe,5229 South Tacoma Way,Tacoma,WA,1960,,Tom Yon,,Dragon/Phoenix,,1983,A-V,Four Bats ,Octagonal Plate (Thick),10.00 cm,3.00 cm,5.43 mm,,6.50 cm,,B,0,,147.90 g,
FSL-084,Man Fook Low,962 So. San Pedro St.,Los Angeles,CA,,,,,Dragon/Phoenix,,1983,A-IV,,Tea Cup,7.50 cm,5.00 cm,5.32 mm,6.69 mm,4.00 cm,3.00 mm,B,0,110.00 ml,140.07 g,
FSL-101,Man Fook Low,962 So. San Pedro St.,Los Angeles,CA,,,,,Dragon/Phoenix,,1983,A-IV,,Tea Cup,7.50 cm,5.00 cm,4.76 mm,6.56 mm,4.00 cm,3.00 mm,B,0,110.00 ml,132.51 g,
FSL-303,Man Fook Low,962 S. San Pedro St.,Los Angeles,CA,,,,,Dragon/Phoenix,,1983,DP IV,,Tea Cup,7.6 cm,5.2 cm,4.7 mm,6.3 mm,3.7 cm,2 mm ,B,0,110 ml,134.9 g,Chinese characters below address
FSL-201,Mark You Restaurant ,1236 Pleasant St.,Fall River ,MA,,,,,Dragon/Phoenix,,1983,A-VIII,"Man in ""Traditional Garb"" Holding a Bowl",Tea Cup,8.00 cm,5.50 cm,5.63 mm,7.31 mm,4.00 cm,3.00 mm,B,0,120.00 ml,144.34 g,
FSL-412,Mei Ling Cafe,189 South L St.,Dinuba,CA,,,,,Two Women,,,TW I,3 red Chinese characters below address,tea cup,,,,,,,K,0,,,Phone 171
FSL-206,Ming Chow's Restaurant ,964 Saratoga St.,Orient HGHTS East Boston,MA,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,4.72 mm,,5.00 cm,,C,0,,90.30 g,
FSL-088,Ming's,17812 S. Bellflower Blvd.,Bellflower,CA,1952,2018,,,Women/Characters,,,,,Tea Cup,7.50 cm,5.00 cm,7.21 mm,8.06 mm,4.00 cm,3.00 mm,D,0,110.00 ml,142.80 g,
FSL-022,Ming's (Dragon Den),919 River Road,Eugene,OR,,,,,Women/Characters,,,,,Tea Cup,8,5.50 cm,6.63 mm,8.37 mm,4.00 cm,5.00 mm,H,0,110.00 ml,163.67 g,
FSL-384,Miyako,0,San Diego,CA,,,,,Two Women,,,TW I,Chinese character above restaurant name,teacup,,,,,,,K,0,,,
FSL-051,Modern Cafe,2200 E Melrose st.,Walla Walla,WA,1958,2024,,,Bird/Flowers,,,B-III,,Tea Cup,8.00 cm,5.00 cm,6.00 mm,7.00 mm,4.00 cm,1.00 mm,D,0,110.00 ml,153.48 g,
FSL-066,Modern Cafe,2200 E Melrose st.,Walla Walla,WA,1958,2024,,,Bird/Flowers,,,B-III,,Tea Cup,8.00 cm,5.00 cm,5.50 mm,7.00 mm,4.00 cm,2.00 mm,D,0,110.00 ml,142.00 g,
FSL-078,Modern Cafe,2200 E Melrose st.,Walla Walla,WA,1958,2024,,,Individualized Logo,,,,Pagoda and Tree on a Cliff,Ash Tray,10.00 cm,2.50 cm,4.80 mm,,5.00 cm,,D,0,,95.08 g,
FSL-409,Monsoon Restaurant,6107 6th Ave.,Tacoma,WA,1961,,,,God of Longevity ,,,GL I,,ashtray,,,,,,,C,0,,,Phone -- SK-9-5525
FSL-049,Moon Temple,2108 N. 45th. St.,Seattle,WA,,,,,Bird/Flowers,,,B-III,,Tea Cup,8.00 cm,5.00 cm,6.40 mm,8.19 mm,4.00 cm,2.00 mm,D,0,110.00 ml,154.00 g,
FSL-349,Moy's Chinese Restaurant,Young Circle,Hollywood,FL,,,,,two women/characters,,,TW I,Two Chinese characters to left of address,Tea Cup,,,,,,,D,0,,,Orders to take out/ Phone WA-2-4273 https://youtu.be/fQxEoZmDW00?si=ySeI6y9EMssGRqPK
FSL-120,Moytel,,Los Angeles (Chinatown),CA,,,,,God of Longevity,,,,Moytel and Los Angeles Chinatown in Red Oval,Ash Tray,10.00 cm,2.50 cm,4.89 mm,,5.00 cm,,D,0,,96.40 g,
FSL-121,Moytel,,Los Angeles (Chinatown),CA,,,,,God of Longevity,,,,Moytel and Los Angeles Chinatown in Red Oval,Ash Tray,10.00 cm,2.50 cm,5.24 mm,,5.00 cm,,D,0,,95.88 g,
FSL-122,Moytel,,Los Angeles (Chinatown),CA,,,,,God of Longevity,,,,Moytel and Los Angeles Chinatown in Red Oval,Ash Tray,10.00 cm,2.50 cm,4.45 mm,,5.00 cm,,D,0,,94.60 g,
FSL-216,,,,,,,,,Individualized Logo,,,,"Red Dragon depicted along with a Red Sun, Wind, Thunder, and Two Symbols ",Tea Cup,8.00 cm,5.50 cm,5.98 mm,7.47 mm,4.00 cm,5.00 mm,C,0,110.00 ml,137.95 g,
FSL-217,,,,,,,,,Individualized Logo,,,,"Red Dragon depicted along with a Red Sun, Wind, and Thunder ",Tea Cup,8.00 cm,5.50 cm,6.23 mm,7.31 mm,4.00 cm,5.00 mm,C,0,110.00 ml,141.15 g,
FSL-218,,,,,,,,,Dragon/Phoenix,,1983,,,Tea Cup,8.00 cm,5.50 cm,6.14 mm,7.76 mm,3.50 cm,5.00 mm,C,0,110.00 ml,143.00 g,
FSL-219,,,,,,,,,Dragon/Phoenix,,1983,,,Tea Cup,7.50 cm,5.50 cm,6.17 mm,6.83 mm,4.00 cm,5.00 mm,G,0,110.00 ml,141.86 g,
FSL-220,,,,,,,,,Dragon/Phoenix,,1983,,,Tea Cup,8.00 cm,5.50 cm,5.93 mm,7.26 mm,4.00 cm,5.00 mm,C,0,110.00 ml,138.42 g,
FSL-221,,,,,,,,,Women/Characters,,,,,Tea Cup,8.00 cm,5.50 cm,6.43 mm,8.33 mm,4.00 cm,4.00 mm,I,0,120.00 ml,146.60 g,
FSL-222,,,,,,,,,Dragon/Phoenix,,1983,,,Tea Cup,8.00 cm,5.50 cm,6.26 mm,7.29 mm,4.00 cm,5.00 mm,,0,110.00 ml,142.22 g,
FSL-223,,,,,,,,,red dragon,1983,,, ,Tea Cup,8.00 cm,5.50 cm,6.26 mm,7.90 mm,4.00 cm,4.00 mm,I,0,110.00 ml,150.93 g,
FSL-224,,,,,,,,,Dragon/Phoenix,,1983,,,Tea Cup,8.00 cm,5.00 cm,5.78 mm,7.11 mm,4.00 cm,3.00 mm,B,0,110.00 ml,140.40 g,
FSL-225,,,,,,,,,red dragon,1983,,, ,Tea Cup,8.00 cm,5.50 cm,6.89 mm,7.48 mm,4.00 cm,6.00 mm,C,0,110.00 ml,147.79 g,
FSL-226,,,,,,,,,yellow lustre/flower,,1960,,,Tea Cup,7.50 cm,5.50 cm,6.15 mm,5.34 mm,3.00 cm,4.00 mm,B,0,90.00 ml,141.82 g,
FSL-227,,,,,,,,,yellow lustre/flower,,1960,,,Tea Cup,7.50 cm,5.50 cm,6.07 mm,5.61 mm,3.00 cm,4.00 mm,B,0,90.00 ml,137.83 g,
FSL-228,,,,,,,,,yellow lustre/flower,,1960,,,Tea Cup,7.50 cm,5.50 cm,6.70 mm,6.52 mm,3.00 cm,4.00 mm,B,0,90.00 ml,140.24 g,
FSL-229,,,,,,,,,yellow lustre/flower,,1960,,,Tea Cup,7.50 cm,5.50 cm,5.81 mm,5.58 mm,3.00 cm,4.00 mm,B,0,90.00 ml,125.30 g,
FSL-230,,,,,,,,,Dragon/Phoenix,,1983,,Thunder and Wind,Tea Cup,8.00 cm,5.50 cm,6.07 mm,7.29 mm,4.00 cm,5.00 mm,,0,110.00 ml,132.93 g,
FSL-231,,,,,,,,,Women/Characters,,,,"""precious like jade""",Tea Cup,8.00 cm,5.50 cm,5.98 mm,6.84 mm,4.00 cm,5.00 mm,C,0,110.00 ml,148.76 g,
FSL-232,,,,,,,,,red dragon,1983,,, ,Tea Cup,8.00 cm,5.50 cm,6.13 mm,7.73 mm,4.00 cm,4.00 mm,I,0,110.00 ml,150.24 g,
FSL-233,,,,,,,,,Dragon/Phoenix,,1983,,Thunder   ,Tea Cup,7.50 cm,5.50 cm,4.18 mm,2.79 mm,3.00 cm,4.00 mm,E,0,110.00 ml,83.66 g,
FSL-234,,,,,,,,,red dragon,1983,,, ,Tea Cup,8.00 cm,5.50 cm,5.85 mm,7.66 mm,4.00 cm,5.00 mm,C,0,110.00 ml,137.70 g,
FSL-235,,,,,,,,,Dragon/Phoenix,,1983,,Thunder and Wind,Tea Cup,8.00 cm,5.50 cm,5.78 mm,7.41 mm,4.00 cm,5.00 mm,,0,110.00 ml,136.55 g,
FSL-236,,,,,,,,,yellow lustre/flower,,1960,,Thunder and Wind,Tea Cup,7.50 cm,5.50 cm,5.89 mm,5.97 mm,3.00 cm,4.00 mm,B,0,110.00 ml,131.21 g,
FSL-237,,,,,,,,,red dragon,1983,,, ,Tea Cup,8.00 cm,5.50 cm,6.64 mm,8.38 mm,4.00 cm,3.00 mm,I,0,110.00 ml,145.06 g,
FSL-238,,,,,,,,,Women/Characters,,,,"""precious like jade""",Tea Cup,8.00 cm,5.50 cm,6.17 mm,7.68 mm,4.00 cm,6.00 mm,G,0,110.00 ml,149.35 g,
FSL-239,,,,,,,,,red dragon,1983,,, ,Tea Cup,8.00 cm,5.50 cm,6.11 mm,7.37 mm,4.00 cm,5.00 mm,C,0,110.00 ml,141.88 g,
FSL-240,,,,,,,,,yellow lustre/flower,,1960,,,Tea Cup,7.50 cm,5.50 cm,5.18 mm,6.11 mm,3.00 cm,4.00 mm,B,0,110.00 ml,128.74 g,
FSL-241,,,,,,,,,yellow lustre/flower,,1960,,,Tea Cup,7.50 cm,5.50 cm,5.37 mm,6.19 mm,3.50 cm,4.00 mm,B,0,110.00 ml,126.00 g,
FSL-242,,,,,,,,,Women/Characters,,,,"""precious like jade""",Tea Cup,8.00 cm,5.50 cm,7.09 mm,7.90 mm,4.00 cm,3.00 mm,I,0,120.00 ml,148.83 g,
FSL-243,,,,,,,,,Dragon/Phoenix,1983,,,Thunder and Wind,Tea Cup,8.00 cm,5.50 cm,5.87 mm,7.63 mm,4.00 cm,5.00 mm,,0,120.00 ml,137.84 g,
FSL-244,,,,,,,,,Longevity (ATS Set),,,,,Tea Cup,9.00 cm,5.50 cm,2.45 mm,2.15 mm,5.00 cm,7.00 mm,D,0,210.00 ml,85.10 g,
FSL-245,,,,,,,,,Bird/Flowers,,,,,Ash Tray,10.00 cm,2.50 cm,4.76 mm,,5.00 cm,,D,0,,90.77 g,
FSL-246,,,,,,,,,Bird/Flowers,,,,,Ash Tray,10.00 cm,2.50 cm,5.02 mm,,5.00 cm,,D,0,,90.38 g,
FSL-247,,,,,,,,,Bird/Flowers,,,,,Ash Tray,10.00 cm,2.50 cm,4.80 mm,,5.00 cm,,D,0,,89.31 g,
FSL-248,,,,,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,4.97 mm,,14.00 cm,,D,0,,95.86 g,
FSL-249,,,,,,,,,thunder border,1983,,,,Oval Platter,21.00 cm,2.50 cm,5.58 mm,,14.00 cm,,I,Yes: Japan,,303.81 g,
FSL-250,,,,,,,,,God of Longevity,,,,,Oval Platter,20.50 cm,2.50 cm,6.10 mm,,14.00 cm,,F,0,,388.35 g,
FSL-251,,,,,,,,,thunder border,1983,,,,Oval Platter,21.00 cm,2.50 cm,5.88 mm,,14.00 cm,,F,0,,374.62 g,
FSL-252,,,,,,,,,God of Longevity,,,,,Oval Platter,21.00 cm,2.50 cm,5.69 mm,,14.00 cm,,F,0,,396.14 g,
FSL-253,,,,,,,,,God of Longevity,,,,,Oval Platter,21.00 cm,2.50 cm,6.10 mm,,14.00 cm,,F,0,,342.15 g,
FSL-254,,,,,,,,,God of Longevity,,,,,Oval Platter,21.00 cm,2.50 cm,5.49 mm,,14.00 cm,,I,Yes: Japan,,388.70 g,
FSL-255,,,,,,,,, ,,,,Hexeganol Pattern with Four Symbols inside of Red Circles ,Plate (Round),18.00 cm,2.00 cm,3.49 mm,,11.00 cm,,A,0,,264.64 g,
FSL-256,,,,,,,,, ,,,,Hexeganol Pattern with Four Symbols inside of Red Circles ,Plate (Round),18.00 cm,2.00 cm,3.70 mm,,11.00 cm,,A,0,,263.49 g,
FSL-257,,,,,,,,, ,,,,Hexeganol Pattern with Four Symbols inside of Red Circles ,Plate (Round),18.00 cm,2.00 cm,3.74 mm,,11.00 cm,,A,0,,267.92 g,
FSL-258,,,,,,,,,God of Longevity,,,,Four Symbols ,Saucer,14.00 cm,2.00 cm,3.50 mm,,7.50 cm,,A,0,,134.63 g,
FSL-259,,,,,,,,,Dragon/Phoenix,,1983,,Gold,Saucer,14.50 cm,2.50 cm,3.62 mm,,9.00 cm,,G,0,,145.41 g,
FSL-260,,,,,,,,,Bird/Flowers,,,,,Vegetable Dish ,10.50 cm,3.00 cm,6.00 mm,,5.50 cm,,D,0,,147.93 g,
FSL-261,,,,,,,,,God of Longevity,,,,,Butter/Soy Dish ,8.50 cm,2.00 cm,6.64 mm,,5.00 cm,,I,0,,94.93 g,
FSL-262,,,,,,,,,red dragon,1983,,, ,Rice/Soup Bowl ,10.50 cm,5.00 cm,5.66 mm,6.43 mm,4.50 cm,7.00 mm,I,Yes: Japan,190.00 ml,201.33 g,
FSL-263,,,,,,,,,Women/Characters,,,,"""precious like jade""",Spoon,15.00 cm (Including Handle),1.50 cm (Only Bowl),3.50 mm,,,,D,0,10.00 ml,46.67 g,
FSL-264,,,,,,,,,Individualized Logo,,,,Hexeganol Pattern with Three Symbols inside of Red Circles ,Spoon,14.00 cm (Including Handle),1.50 cm (Only Bowl),3.50 mm,,,,G,0,10.00 ml,38.03 g,
FSL-265,,,,,,,,,Women/Characters,,,,"""precious like jade""",Spoon,15.00 cm (Including Handle),1.50 cm (Only Bowl),3.50 mm,,,,D,0,10.00 ml,45.96 g,
FSL-278,,,,,,,,,Dragon/Phoenix,,,,,Tea Pot (Vertical Body),6.50 cm,14.50 cm,,,8.50 cm,,B,0,600 ml,508.30 g,
FSL-279,,,,,,,,,Women/Characters,,,, ,Tea Pot,7.00 cm,16.50 cm,,,7.50 cm,,A,0,800 ml,482.60 g,
FSL-190,Nanking Restaurant,2002 P Street N. W.,Washington,DC,1955,,,,Individualized Logo,,,,Greek Key and Red Dragon,Tea Cup,7.50 cm,5.00 cm,5.66 mm,7.98 mm,4.00 cm,3.00 mm,D,0,100.00 ml,140.23 g,
FSL-397,New Cathay,2410 S.E. 82nd Ave.,Portland,OR,,,,,Dragon and Phoenix,,1983,DP II,3 red Chinese characters inside cup,tea cup,,,,,,,B,0,,,
FSL-069,New China Cafe,305 E. Whisbkah,Aberdeen,WA,1954,1988,,,Women/Characters,,,,,Tea Cup,8.00 cm,5.50 cm,7.42 mm,8.50 mm,4.00 cm,5.00 mm,C,0,110.00 ml,163.00 g,
FSL-164,New China Inn,803 E. First St. Olovis ,,NM,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,6.26 mm,,5.00 cm,,D,0,,100.07 g,
FSL-295,New China Restaurant,3710 W. Dempster St.,Skokie ,IL,,,,,two women/characters,,,TW-I,Seated person eating near river,Tea Cup,7.60 cm,5.20 cm,5.80 mm,7.22 mm,3.70 cm,2.00 mm,D,0,108.00 ml,139 g,"Famous Cantonese Food Phones: OR-4-342, OR-3-9415"
FSL-390,New Chinatown Restaurant & Cocktail Lounge,5001 Central Ave. N.E.,Albuerque,NM,1954,2003,,,God of Longevity ,,,GL III,3 red Chinese characters below GL,ashtray,,,,,,,D,0,,,
FSL-272,New Grand Cafe ,117 K St. ,Rock Springs,WY,,,,,Women/Characters,,,,,Tea Cup,8.00 cm,5.50 cm,7.21 mm,7.70 mm,4.0 cm,5.0 mm,E,0,110 ml,155.82 g,
FSL-275,New Grand Cafe ,117 K St.,Rock Springs,WY,,,,,Women/Characters,,,,,Tea Cup,7.50 cm,5.50 cm,6.85 mm,7.35 mm,4.0 cm,5.0 mm,E,0,110 ml,154.17 g,
FSL-045,New Lucky Toy,4718 S. W. California,Seattle,WA,,,,,Bird/Flowers,,,B-II,,Tea Cup,8.00 cm,5.00 cm,5.67 mm,7.50 mm,4.00 cm,5.00 mm,G,0,110.00 ml,140.00 g,
FSL-048,New Moon Cafe,27 East Main St.,Auburn,WA,,,,,Women/Characters,,,,,Tea Cup,7.50 cm,5.00 cm,6.00 mm,8.00 mm,4.00 cm,2.00 mm,D,0,110.00 ml,145.00 g,
FSL-080,New Moon Cafe,9 E. Main St.,Auburn,WA,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,5.57 mm,,5.00 cm,,C,0,,98.69 g,
FSL-396,New Moon Cafe,27 East Main St.,Auburn,WA,,,,,Two Women,,,TW I,Pagoda and crescent moon; 3 Chinese characters below phone number,tea cup,,,,,,,D,0,,,Foods to take out; Phone TE-3-9949
FSL-318,New Sea Girt,8044 Fort Smallwood Rd.,Baltimore,MD,,,,,Bird and flower,,,BF III,chinese characters above address,Tea Cup,7.6 cm,5.2 cm,8.2 mm,8.5 mm,3.8 cm,2 mm,D,0,96 ml,188.1 g,
FSL-326,New Sea Girt Inn,8015 Fort Smallwood,Baltimore,MD,,,,,Bird and Flower,,,BF III,4 Chinese characters above address,saucer,,,,,,,E,0,,,
FSL-385,New Sea Girt Inn,8044 Fort Smallwood Rd.,Baltimore,MD,,,,,Bird and Flower,,,BF III,4 Chinese characters above address,ashtray,,,,,,,D,0,,,Phone CL-5-6556
FSL-386,New Sea Girt Inn,8044 Fort Smallwood Rd.,Baltimore,MD,,,,,Bird and Flower,,,BF III,4 Chinese characters above address,ashtray,,,,,,,D,0,,,Phone CL-5-6556
FSL-169,New Sea Grit Inn,8015 Fort Smallwood Rd.,Baltimore,MD,1955,1985,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,4.39 mm,,5.00 cm,,C,0,,93.64 g,
FSL-170,New Sea Grit Inn,8015 Fort Smallwood Rd.,Baltimore,MD,1955,1985,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,5.03 mm,,5.00 cm,,C,Yes: Japan,,95.38 g,
FSL-054,New Shanghai Cafe,117 West Fifth,Olympia,WA,,,,,Bird/Flowers,,,B-III,,Tea Cup,8.00 cm,5.00 cm,8.10 mm,8.50 mm,4.00 cm,2.00 mm,D,0,90.00 ml,184.76 g,
FSL-267,Noodle Grill,512 West Main,Spokane,WA,,,,,Dragon/Phoenix,,1983,A-V open pearl variant,Three Symbols ,Tea Cup,7.50 cm,5.50 cm,4.93 mm,7.30 mm,3.50 cm,5.00 mm,B,0,110.00 ml,115.94 g,
FSL-270,Noodle Grill,512 West Main,Spokane,WA,,,,,Dragon/Phoenix,,1983,A-V,Three Symbols ,Saucer ,12.50 cm,2.00 cm,4.34 mm,,7.00 cm,,B,0,,144.38 g,
FSL-382,Oriental Cafe,0,Pullman,WA,,,,,Bird and Flower,,,BF III,2 red Chinese characters above address,ashtray,,,,,,,D,0,,,"""The Ming Room"" below address"
FSL-011,Oriental Garden Rest,Highway 99W.,McMinnville,OR,,,,,Women/Characters,,,,,Tea Cup,8,5.50 cm,5.50 mm,6.50 mm,3.50 cm,3.00 mm,B,0,110.00 ml,133.00 g,
FSL-126,Oriental Gardens,9846 Magnolia Ave.,Arlington,CA,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,4.47 mm,,5.00 cm,,C,0,,88.68 g,
FSL-327,Oriental Kitchen,2923 Columbia Pike,Arlington,VA,,,,,God of Longevity,,,GL III,2 red Chinese characters below GofL,ashtray,,,,,,,D,0,,,Broken into two pieces; Carry out; Phone JA-5-2210 JA-7-9844
FSL-282,Oriental Restaurant,116 E. Parrish St. ,Durham,NC,,,,,bird and flower,,,B-III,pagoda tower and chinese characters,tea bowl,7.75 cm ,5.1 cm,8.1 mm,8.1 mm,4.00 cm,2.0 mm,D,no,98 ml,173.02,
FSL-399,Oriental Restaurant,209 Exchange St.,Bangor,ME,,,,,Dragon and Phoenix,,1983,DP IV,3 Chinese characters to right of address,tea cup,,,,,,,B,0,,,Foods To Take Out; Phone 3253
FSL-401,Oriental Restaurant,209 Exchange St.,Bangor,ME,,,,,Dragon and Phoenix,,1983,DP IV,3 Chinese characters to right of address,tea cup,,,,,,,B,0,,,Foods To Take Out; Phone 3253
FSL-373,Oriental Terrace Rest.,5411 Warrensville CTN RD,Maple Heights,OH,,,,,Two Women,,,TW II,2 red Chinese characters above address,tea cup,,,,,,,G,0,,,Phone 475-2880
FSL-086,Pagoda Cafe,911 Glenwood St.,Delano,CA,,,,,Women/Characters,,,,,Tea Cup,7.50 cm,5.00 cm,5.62 mm,6.89 mm,3.50 cm,2.00 mm,B,0,110.00 ml,130.88 g,
FSL-162,Pagoda Restaurant,4971 So. Peoria,Tulsa,OK,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,4.87 mm,,5.00 cm,,G,0,,90.67 g,
FSL-062,Paragon Restaurant ,1311-15th Ave.,Longview,WA,1972,2015,,,Women/Characters,1972,2000,,,Tea Cup,8.00 cm,5.50 cm,6.37 mm,7.00 mm,4.00 cm,5.00 mm,C,0,110.00 ml,153.17 g,
FSL-063,Paragon Restaurant ,1311-15th Ave.,Longview,WA,1972,2015,,,Women/Characters,1972,2000,,,Tea Cup,8.00 cm,5.50 cm,6.17 mm,7.84 mm,4.00 cm,5.00 mm,G,0,110.00 ml,155.50 g,
FSL-064,Paragon Restaurant ,1311-15th Ave.,Longview,WA,1972,2015,,,Women/Characters,1972,2000,,,Tea Cup,8.00 cm,5.50 cm,6.23 mm,7.54 mm,4.00 cm,5.00 mm,G,0,110.00 ml,153.06 g,
FSL-067,Paragon Restaurant ,1311-15th Ave.,Longview,WA,1972,2015,,,Women/Characters,1972,2000,,,Tea Cup,8.00 cm,5.00 cm,6.00 mm,7.50 mm,3.50 cm,2.00 mm,B,0,110.00 ml,140.50 g,
FSL-068,Paragon Restaurant ,1311-15th Ave.,Longview,WA,1972,2015,,,Women/Characters,1972,2000,,,Tea Cup,8.00 cm,5.50 cm,6.50 mm,8.00 mm,4.00 cm,5.00 mm,G,0,110.00 ml,165.39 g,
FSL-072,Paragon Restaurant ,1311-15th Ave.,Longview,WA,1972,2015,,,Women/Characters,1972,2000,,,Tea Cup,8.00 cm,5.50 cm,6.00 mm,7.43 mm,4.00 cm,5.00 mm,G,0,110.00 ml,148.00 g,
