Object Number,Restuarant Name,Restaurant Street address,Restaurant City,State,year opened,year closed,Owner surname(s),Is it in the 1960 Catalog?,pattern,earliest year for artifact,latest year for artifact,Pattern varient,Additional Design,Vessel form,rim diameter (cm),vessel height (in cm),thickness of vessel walls (in mm),thickness of lip (in mm),foot rim diameter (cm),height of foot (in mm),Mark (use letter code sheet),"sticker (use code, 0=none)",volume of cup or teapot in ml,weight (in grams),Additional design
FSL-142,Pekin Pavilion,7437 E. Jefferson Ave.,Detroit,MI,,,,,Women/Characters,,,,,Tea Cup,8.00 cm,5.00 cm,4.95 mm,6.73 mm,4.00 cm,3.00 cm,B,0,110.00 ml,129.42 g,
FSL-189,Peking Restaurant,5522 Connecticut Ave. N.W.,Washington,DC,,,,,Women/Characters,,,,"Temple of Heaven, Beijing",Tea Cup,7.50 cm,5.00 cm,5.82 mm,7.88 mm,4.00 cm,3.00 mm,D,0,100.00 ml,138.60 g,
FSL-009,Republic Cafe,222 N. W. 4th. Ave.,Portland,OR,1922,2023,,,Women/Characters,,,,,Tea Cup,8,5.50 cm,6.60 mm,7.50 mm,4.00 cm,3.00 mm,B,0,110.00 ml,152.00 g,
FSL-016,Republic Cafe,222 N. W. 4th. Ave.,Portland,OR,1922,2023,,,Women/Characters,,,,,Tea Cup,8,5.00 cm,4.00 mm,6.79 mm,4.00 cm,2.00 mm,B,0,130.00 ml ,121.50 g,
FSL-291,Republic Cafe,,Portland,OR,1922,2023,,,Bird/Flowers,,,B-I,,tea bowl,7.6 cm,4.95,5.1,6.6,3.72,4.5,C,0,108,118.08,
FSL-141,Rice Bowl,4539 Broadway,Chicago,IL,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,5.40 mm,,5.00 cm,,G,0,,99.79 g,
FSL-281,Rice Bowl,,Bakerfield [sic],CA,,,,,red dragon,1983,,,Chinese characters,tea bowl,7.76 cm,5.52 cm,6.50 mm,7.1 mm,3.80 cm,4.5 mm,C,no,113 ml,140.48,
FSL-061,Rice Bowl Cafe,1354 Broadway,Tacoma,WA,1942,1966–1969,Stanley Woo,,Women/Characters,,,,,Tea Cup,7.50 cm,5.00 cm,5.50 mm,6.78 mm,3.50 cm,3.00 mm,B,0,100.00 ml,133.77 g,
FSL-065,Rice Bowl Cafe,1354 Broadway,Tacoma,WA,1952,1966–1969,Stanley Woo,,Women/Characters,,,,,Tea Cup,8.00 cm,5.00 cm,5.00 mm,7.00 mm,3.50 cm,3.00 mm,B,0,110.00 ml,124.00 g,
FSL-012,Rickshaw Inn,14423 S. E. McLoughlin,Milwaukie,OR,,,,,Women/Characters,,,,,Tea Cup,8,5.50 cm,5.29 mm,6.50 mm,3.50 cm,3.00 mm,B,0,110.00 ml,122.50 g,
FSL-027,Rickshaw Inn,14423 S. E. McLoughlin,Milwaukie,OR,,,,,Women/Characters,,,,,Tea Cup,8,5.00 cm,5.76 mm,7.22 mm,4.00 cm,2.00 mm,D,0,110.00 ml,139.00 g,
FSL-087,Royal Canton Cafe,641 First St.,Encinitas,CA,,,,,Women/Characters,,,,Picture of the Restaurant,Tea Cup,8.00 cm,5.00 cm,5.68 mm,7.47 mm,4.00 cm,2.00 mm,D,0,110.00 ml,138.96 g,
FSL-089,Royal Canton Cafe,641 First St.,Encinitas,CA,,,,,Women/Characters,,,,Picture of the Restaurant,Tea Cup,7.50 cm,5.00 cm,5.30 mm,7.35 mm,4.00 cm,2.00 mm,D,0,110.00 ml,133.02 g,
FSL-191,Sampan Cafe,656 Penn. Ave. S.E.,Washington,DC,,,,,Women/Characters,,,,Black and White Sampan,Tea Cup,7.50 cm,5.00 cm,4.94 mm,6.33 mm,3.50 cm,5.00 mm,C,0,100.00 ml,114.18 g,
FSL-107,Sampan Cantonese Cuisine,420 S. Brookhurst,Anaheim,CA,,,,,Women/Characters,,,,Picutre of Sampan at Dock and Chinese Structure,Tea Cup,8.00 cm,5.00 cm,6.56 mm,8.33 mm,4.00 cm,6.00 mm,H,0,110.00 ml,156.10 g,
FSL-113,Sampan Cantonese Cuisine,420 S. Brookhurst,Anaheim,CA,,,,,Women/Characters,,,,Picutre of Sampan at Dock and Chinese Structure,Tea Cup,8.00 cm,5.00 cm,6.02 mm,8.01 mm,4.00 cm,5.00 mm,H,0,110.00 ml,146.72 g,
FSL-124,Sampan Cantonese Cuisine,420 S. Brookhurst,Anaheim,CA,,,,,Individualized Logo,,,,Picutre of Sampan at Dock and Chinese Structure,Ash Tray,10.00 cm,2.50 cm,4.68 mm,,5.00 cm,,C,0,,91.86 g,
FSL-273,Shanghai Cafe,,Pocatello,ID,,,,,Dragon/Phoenix,,1983,A-V ,,Tea Cup,7.50 cm,5.50 cm,4.56 mm,6.79 mm,3.5 cm,5.0 mm,B,0,110 ml,107.71 g,
FSL-348,Shanghai Garden Restaurant,919 Race St.,Philadelphia 7,PA,,,,,Bird and flower,,,BF IV,Chinese characters above address,Tea Cup,7.6cm,5.7cm,,,3.8cm,2cm,B,0,,,
FSL-111,Shanghai Low Cafe,1815 4th. St.,Eureka,CA,,,,,Dragon/Phoenix,,1983,A-VII ,,Tea Cup,8.00 cm,5.50 cm,6.09 mm,7.67 mm,4.00 cm,5.00 mm,C,0,110.00 ml,138.88 g,
FSL-085,Sheng Haw Low Cafe,1052 Third Ave.,San Diego ,CA,1952,1969,Tommy Sheng,,Bird/Flowers,1950–1959,1969,B-IV,Hawaiian girl riding a Stork,Tea Cup,8.00 cm,5.00 cm,5.97 mm,8.35 mm,4.00 cm,3.00 mm,D,0,110.00 ml,140.60 g,
FSL-108,Sheng Haw Low Restaurant,5801 University Ave.,San Diego ,CA,1971,1984,Tommy Sheng,,Individualized Logo,1971,,,Red Dragon,Tea Cup,8.00 cm,5.50 cm,6.52 mm,7.33 mm,4.00 cm,5.00 mm,C,0,110.00 ml,147.76 g,
FSL-006,Silk Hat Cafe,5144 N. E. Union Ave.,Portland,OR,1950,1975,,,Individualized Logo,,,,Silk Hat,Tea Cup,8,5.50 cm,5.55 mm,6.00 mm,3.00 cm,5.00 mm,B,0,100.00 ml,142.00 g,
FSL-008,Silk Hat Cafe,5144 N. E. Union Ave.,Portland,OR,1950,1975,,,Individualized Logo,,,,Silk Hat,Tea Cup,8,5.50 cm,6.00 mm,5.60 mm,3.00 cm,5.00 mm,B,0,100.00 ml,140.00 g,
FSL-015,Silk Hat Cafe,5144 N. E. Union Ave.,Portland,OR,1950,1979,,,Individualized Logo,,,,Silk Hat,Tea Cup,8,5.50 cm,5.00 mm,5.50 mm,3.00 cm,3.00 mm,B,0,110.00 ml,139.50 g,
FSL-031,Silk Hat Cafe,5144 N. E. Union Ave.,Portland,OR,1950,1975,,,Individualized Logo,,,,Silk Hat,Tea Pot (Thin),6,12.50 cm,,,8.00 cm,,B,0,800.00 ml,422.00 g,
FSL-127,Song Hay Restaurant,1180 E. Highland Ave.,San Bernardino,CA,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,5.37 mm,,5.00 cm,,G,0,,101.05 g,
FSL-040,Soo Hoy Cafe ,632 Bay St. ,Port Orchard,WA,1940,1980–1989,,,Dragon/Phoenix,,1983,A-II,,Tea Cup,7.50 cm,5.00 cm,5.00 mm,6.64 mm,3.00 cm,2.00 mm,B,0,110.00 ml,120.00 g,
FSL-071,South China Cafe,2716 Beacon Ave. ,Seattle,WA,,,,,Bird/Flowers,,,B-II,,Tea Cup,8.00 cm,5.50 cm,6.00 mm,6.86 mm,4.00 cm,5.00 mm,G,0,110.00 ml,152.5 g,
FSL-076,South China Cafe,2716 Beacon Ave. ,Seattle,WA,,,,,Bird/Flowers,,,B-II,,Saucer,12.50 cm,2.00 cm,4.30 mm,,7.00 cm,,G,0,,151.88 g,
FSL-319,South China Cafe,2716 Beacon Ave.,Seattle,WA,,,,,God of Longevity,,,GL III,4 gold Chinese characters above GL,ashtray,,,,,,,A,0,,,
FSL-383,South China Cafe,2716 Beacon Ave.,Seattle,WA,,,,,Bird and Flower,,,BF III,2 Chinese characters to either side of address,teacup,,,,,,,G,0,,,Foods to take out; Phone EA-2-9794
FSL-131,South Pacific Restaurant,28-30 W. Randolph St,Chicago,IL,1954,1981,,,Women/Characters,,,,,Tea Cup,8.00 cm,5.50 cm,6.35 mm,7.96 mm,5.00 cm,5.00 mm,G,0,120.00 ml,156.55 g,
FSL-132,South Pacific Restaurant,28-30 W. Randolph St,Chicago,IL,1954,1981,,,Women/Characters,,,,,Tea Cup,8.00 cm,5.00 cm,7.98 mm,8.35 mm,4.00 cm,2.00 mm,D,0,90.00 ml,183.45 g,
FSL-136,South Pacific Restaurant,28-30 W. Randolph St,Chicago,IL,1954,1981,,,Women/Characters,,,,,Tea Cup,8.00 cm,5.50 cm,6.57 mm,7.96 mm,4.00 cm,6.00 cm,G,0,110.00 ml,148.47 g,
FSL-137,South Pacific Restaurant,28-30 W. Randolph St,Chicago,IL,1954,1981,,,Women/Characters,,,,,Saucer,12.50 cm,2.00 cm,4.67 mm,,7.00 cm,,D,0,,155.19 g,
FSL-407,South Pacific Restaurant,28-30 W. Randolf St.,Chicago,IL,,,,,Two Women,,,TW I,6 Chinese characters below address,saucer,,,,,,,D,0,,,
FSL-363,Sun Chong Lung Chinese Merchandise & Grocery,2220 Wentworth Ave.,Chicago,Ill,,,,,God of Longevity,,,GL III,Three red Chinese characters above address,,,,,,,,D,0,,,Phone CA-5-6050
FSL-154,Sundown Cafe,West on Hwy. 66,Holbrook ,AZ,,,,,Dragon/Phoenix,,1983,A-VII,,Tea Cup,8.00 cm,5.00 cm,6.72 mm,7.87 mm,4.00 cm,5.00 mm,C,Yes: Japan,110.00 ml,151.42 g,
FSL-343,Sunlite Cafe,509 3rd Ave.,Renton,WA,1956,,Fong and Kie L Chinn,,God of Longevity,,,GL II,Chinese characters below GL,Ashtray ,9.7cm,2.5cm,,,4.5cm,3cm,C,yes;Japan,,,Foods to go/Phone BA-8-4320
FSL-344,Sunlite Cafe,509 3rd Ave.,Renton,WA,1956,,Fong and Kie L Chinn,,God of Longevity,,,GL II,Chinese characters below GL,Ashtray ,9.7cm,2.5cm,,,4.5cm,3cm,C,yes;Japan,,,Foods to go/Phone BA-8-4320
FSL-345,Sunlite Cafe,509 3rd Ave.,Renton,WA,1956,,Fong and Kie L Chinn,,God of Longevity,,,GL II,Chinese characters below GL,Ashtray ,9.7cm,2.5cm,,,4.5cm,3cm,C,0,,,Foods to go/Phone BA-8-4320
FSL-346,Sunlite Cafe,509 Third Ave.,Renton,WA,1956,,Fong and Kie L Chinn,,God of Longevity,,,GL III,Rising sun/ red Chinese characters to left of address,Ashtray ,9.8cm,2.5cm,,,4.7cm,2cm,E,0,,,Ashtray is broken into two pieces with some chips missing /measurements are taken from taped vessel -Orders to go/ Phone AL-5-9030
FSL-202,Tai Hong Restaurant,Lynnfield St.,Lynn,MA,,,,,Women/Characters,,,,Tall Pagoda/Tower,Tea Cup,8.00 cm,5.50 cm,6.03 mm,7.89 mm,4.00 cm,3.00 mm,B,0,120.00 ml,146.90 g,
FSL-266,Tai Ping Terrace ,11130 S. W. Barbur Blvd. ,Portland ,OR,1955,1962,,,Women/Characters,,,,,Tea Cup,7.50 cm,5.00 cm,5.14 mm,6.66 mm,3.50 cm,3.00 mm,B,0,110.00 ml,120.31 g,
FSL-194,Tai Tung Restaurant,622 M St. N.W.,Washington,DC,1965,1990,,,Pink Luster,1965,1990,,,Tea Cup,8.00 cm,5.50 cm,5.15 mm,5.41 mm,4.00 cm,3.00 mm,C,0,120.00 ml,127.82 g,
FSL-404,Tai Won Cafe,12543 Bothell Way,Seattle ,WA,,,,,Two Women,,,TW I,2 Chinese characters above address,tea cup,,,,,,,B,0,,,Foods To Take Out; Phone EM-2-9911
FSL-365,Tao Lee Yon,816 Washington St.,San Francisco (Chinatown),CA,,,,,0,,,0,4 Chinese Characters in place of design,tea cup,,,,,,,B,0,,,
FSL-366,Tao Lee Yon,816 Washington St.,San Francisco (China-Town),CA,,,,,0,,,0,4 Chinese characters in place of design,tea cup,,,,,,,B,0,,,
FSL-375,Tao Lee Yon,816 Washington St.,Chinatown-San Francisco,CA,,,,,0,,,,5 red Chinese characters in place of design,rice bowl,,,,,,,H,0,,,
FSL-100,Tao Tao Cafe,175 So. Murphy Ave.,Sunnyvale,CA,1951,,,,Dragon/Phoenix,,1983,,,Tea Cup,7.50 cm,5.00 cm,5.02 mm,6.40 mm,3.50 cm,3.00 mm,,0,110.00 ml,117.21 g,
FSL-106,Tao Tao Cafe,175 So. Murphy Ave.,Sunnyvale,CA,1951,,,,Dragon/Phoenix,1951,1983,A-IV,,Tea Cup,8.00 cm,5.00 cm,5.04 mm,6.43 mm,4.00 cm,3.00 mm,B,0,110.00 ml,141.40 g,
FSL-020,Tea Garden Cafe,8112 N. Denver Ave.,Portland,OR,1950,1973,,,Women/Characters,,1973,,,Tea Cup,8,5.00 cm,5.73 mm,7.67 mm,4.00 cm,2.00 mm,B,0,110.00 ml,150.00 g,
FSL-037,Tea Garden Cafe,8112 N. Denver Ave.,Portland,OR,1950,1973,,,God of Longevity,,1973,,,Ash Tray,10,2.50 cm,6.17 mm,5.41 mm,5.00 cm,,G,0,,108.00 g,
FSL-050 ,Tea Garden Restaurant,,Ellensburg,WA,,,,,Dragon/Phoenix,,1983,A-VII,,Tea Cup,8.00 cm,5.00 cm,5.29 mm,7.00 mm,4.00 cm,4.00 mm,C,0,110.00 ml,131.21 g,
FSL-208,Tea Garden Restaurant,7250 Kelly St.,Pittsburgh,PA,,,,,Women/Characters,,,,"Pagoda, Bridge, Mountains, Hamlet and Trees",Tea Cup,7.50 cm,5.00 cm,5.75 mm,7.95 mm,4.00 cm,3.00 mm,B,0,110.00 ml,143.92 g,
FSL-333,Tea Garden Restaurant,7250 Kelly St.,Pittsburg,PA,,,,,Women/characters,,,TW I,Pagoda with river and bridge,saucer,,,,,,,B,0,,,Dine out at the finest; foods to take out; Phone CH-2-660
FSL-058,Tea House,Greenwood & 97th. North,Seattle,WA,,,,,Women/Characters,,,,,Tea Cup,7.50 cm,5.00 cm,5.18 mm,6.80 mm,4.00 cm,5.00 mm,C,0,110.00 ml,124.50 g,
FSL-060,Tea House,Greenwood & 97th. North,Seattle,WA,,,,,Dragon/Phoenix,,1983,A-III,,Tea Cup,8.00 cm,5.00 cm,6.38 mm,8.00 mm,4.00 cm,2.00 mm,D,0,110.00 ml,148.55 g,
FSL-370,The Cathay,0,0,0,,,,,God of Longevity ,,,GL III,,ashtray,,,,,,,E,0,,,
FSL-371,The Cathay,0,0,0,,,,,God of Longevity ,,,GL III,,ashtray,,,,,,,E,0,,,
FSL-203,The Chin's,190 Washington St.,Westwood,MA,,,,,Longevity and a Bat,,,,"Sampan on Water, Line of People in Front ",Tea Cup,8.00 cm,5.50 cm,5.71 mm,6.79 mm,4.00 cm,6.00 mm,D,0,120.00 ml,138.57 g,
FSL-297,The Golden Buddha,,Sarasota,FL,,,,,two women/characters,,,TW-I,Buddha with four characters,Tea Cup,7.30 cm,5.20 cm,,7.30 mm,3.70 cm,2.00 mm,D,0,100 ml,146.70 g,
FSL-093,The Great Wall,,West Covina,CA,,,,,Women/Characters,,,,,Tea Cup,7.50 cm,5.00 cm,6.58 mm,7.24 mm,4.00 cm,2.00 mm,B,0,90.00 ml,139.95 g,
FSL-172,The Oriental Restaurant ,,Charlotte 2,NC,,,,,Bird/Flowers,,,B-V,,Ash Tray,10.00 cm,2.50 cm,5.62 mm,,5.00 cm,,D,0,,102.63 g,
FSL-173,The Oriental Restaurant ,,Charlotte 2,NC,,,,,Bird/Flowers,,,B-V,,Ash Tray,10.00 cm,2.5 cm,5.95 mm,,5.00 cm,,D,Yes: Japan,,97.56 g,
FSL-001,The Pagoda ,3839 N. E. Broadway,Portland,OR,1939,2008,,,Women/Characters,,,,,Tea Cup,8,5.50 cm,4.00 mm,6.60 mm,4.00 cm,4.00 mm,B,0,120.00 ml,127.00 g,
FSL-019,The Pagoda ,3839 N. E. Broadway,Portland,OR,1939,2008,,,Women/Characters,,,,,Tea Cup,8,5.00 cm,5.35 mm,6.73 mm,4.00 cm,2.00 mm,B,0,110.00 ml,153.00 g,
FSL-032,The Pagoda ,N. E. 39th & Sandy,Portland,OR,1939,2008,,,Dragon/Phoenix,,1983, ,,Tea Pot (Vertical Body),6.5,14.00 cm,,,9.00 cm,,B,0,600.00 ml,497.50 g,
FSL-035,The Pagoda ,3839 N. E. Broadway,Portland,OR,1939,2008,,,Individualized Logo,,,,Picture of the Restaurant,Ash Tray,10,2.50 cm,4.53 mm,4.77 mm,5.00 cm,,D,0,,96.82 g,
FSL-362,The Peach Garden ,3610 Olive St.,St. Louis,MO,,,,,God of Longevity,,,GL III,Two red Chinese Characters on either side of address,ashtray ,,,,,,,D,0,,,Foods to take out/ Phone JE-3-9975
FSL-102,The Polynesian Restaurant,Herschel at Silverado,La Jolla,CA,,,,,Women/Characters,,,,,Tea Cup,8.00 cm,5.00 cm,5.21 mm,7.05 mm,4.00 cm,2.00 mm,D,0,110.00 ml,130.42 g,
FSL-112,The Polynesian Restaurant,Herschel at Silverado,La Jolla,CA,,,,,Women/Characters,,,,,Tea Cup,8.00 cm,5.00 cm,5.05 mm,7.25 mm,4.00 cm,2.00 mm,D,0,110.00 ml,126.70 g,
FSL-105,The Rice Bowl,2804 Highway 99E.,North Chico,CA,,,,,Bird/Flowers,,,B-IV,Rice Bowl with Longeivity Character,Tea Cup,7.50 cm,5.00 cm,6.22 mm,7.91 mm,4.00 cm,2.00 mm,D,0,110.00 ml,152.13 g,
FSL-192,The Sun Restaurant,1775 Colombia Rd. N. W.,Washington,DC,,,,,Women/Characters,,,,A Sun that Looks a lot Like the Sun in the Middle of the ROC Flag and Like the Sun on Top of Mauseleum,Tea Cup,8.00 cm,5.50 cm,5.51 mm,6.67 mm,4.00 cm,3.00 mm,B,Yes: Japan,120.00 ml,136.36 g,
FSL-372,The Three J's,,Portland,OR,,,,,Bird and Flower,,,BF III,,ashtray,,,,,,,D,Yes; Japan,,,Part of set of 12 (this number contains remaining 11 ashtrays still intact in box and FSL-351)
FSL-091,Toa Lee Yon,816 Washigton St.,San Francisco (Chinatown),CA,,,,,Individualized Logo,,,,Wen,Tea Cup,7.50 cm,5.00 cm,4.27 mm,7.14 mm,4.00 cm,2.00 mm,B,0,120.00 ml ,130.44 g,
FSL-096,Tuey Far Ven Cafe,2617 E. Florence Ave.,Huntigton Park,CA,,,,,Dragon/Phoenix,,1983,A-III,,Tea Cup,7.50 cm,5.00 cm,9.25 mm,8.55 mm,4.00 cm,2.00 mm,D,0,90.00 ml,194.10 g,
FSL-053 ,Van Louie,,Silverdale,WA,,,,,Women/Characters,,,,,Tea Cup,8.00 cm,5.50 cm,5.80 mm,6.80 mm,4.00 cm,5.00 mm,H,Yes: Japan,110.00 ml,141.31 g,
FSL-359,Wee's Cafe,4254 W. Thomas Rd.,Phoenix,AZ,,,,,God of Longevity,,,GL III,,ashtray ,,,,,,,D,0,,,Phone 272-1881
FSL-139,Wing Yee,2556 N. Clark St.,Chicago,IL,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,4.30 mm,,5.00 cm,,G,0,,89.05 g,
FSL-155,Wing's,1617 E. Thomas Rd. ,Phoenix,AZ,,,,,Phoenix,,,I-*,,Tea Cup,7.50 cm,5.00 cm,3.36 mm,2.38 mm,3.00 cm,4.00 mm,B,0,110.00 ml,78.60 g,
FSL-277,Wo Fat Ltd,,Honolulu,HI,,,,,Women/Characters,,,,Four Symbols ,Plate (Round),23.50 cm,3.0 cm,5.88 mm,,14.00 cm,,A,0,,642.80 g,
FSL-293,Wong's Cafe,421 Main Street,Klamath Falls,OR,,2025,,,Dragon/Phoenix,,1983,DP-5,,tea cup,7.6 cm,5.5 cm,5.9 mm,6.3 mm,3.1 cm,0.5 mm,B,0,106,141.5,
FSL-095,Woo's Garden,11035 S. Crenshaw Blvd. ,Inglewood,CA,,,,,Women/Characters,,,,,Tea Cup,7.50 cm,5.00 cm,7.00 mm,8.65 mm,4.00 cm,2.00 mm,D,0,90.00 ml,160.02 g,
FSL-129,Woo's Garden,11035 S. Crenshaw Blvd.,Inglewood,CA,,,,,Bird/Flowers,,,,,Ash Tray,10.00 cm,2.50 cm,4.87 mm,,5.00 cm,,D,0,,94.55 g,
FSL-285,Woo's Pagoda Restaurant, ,Eau Claire,WI,1950,2008,,,two women/characters,,,C-VII,,tea bowl,7.45 cm,4.99 cm,5.3 mm,7.55 mm,3.85 cm,2.0mm,D,no,110 ml,130.8 g,
FSL-119,Yangtze Restaurant ,126 North Euclid Ave.,Ontario,CA,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,5.48 mm,,5.00 cm,,G,0,,103.35 g,
FSL-094,Yee Hung Guey Cafe,956 N. Hill St,Los Angeles (New Chinatown),CA,,,,,Bird/Flowers,,,B-III,,Tea Cup,7.50 cm,5.00 cm,9.06 mm,8.28 mm,4.00 cm,2.00 mm,D,0,90.00 ml,189.50 g,
FSL-130,Yee's Garden,,El Centro,CA,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,5.37 mm,,5.00 cm,,D,0,,101.33 g,
FSL-177,Ying's Famous Chinese American Food ,1387 Military Hiway 13,Norfolk,VA,,,,,God of Longevity,,,,Picture of the Restaurant,Tea Cup,8.00 cm,5.50 cm,6.03 mm,7.85 mm,4.00 cm,3.00 mm,B,0,110.00 ml,148.42 g,
FSL-097,Young China Cafe,5122 Whittier Blvd. ,Los Angeles,CA,,,,,Women/Characters,,,,,Tea Cup,8.00 cm,5.50 cm,6.15 mm,6.54 mm,4.00 cm,5.00 mm,H,0,130.00 ml,140.16 g,
FSL-135,Young SIng Restaurant ,2806 N.Clark St.,Chicago,IL,,,,,Women/Characters,,,,,Tea Cup,7.50 cm,5.00 cm,4.97 mm,7.22 mm,4.00 cm,3.00 cm,B,0,110.00 ml,136.06 g,
FSL-103,Yuet Sue's Tea House,2332 S. Mooney Blvd.,Visalia,CA,1959,1973,Sue,,Women/Characters,1959,1973,,,Tea Cup,8.00 cm,5.00 cm,6.02 mm,7.26 mm,4.00 cm,3.00 mm,B,0,110.00 ml,142.58 g,
FSL-309,Yuet Sue's Tea House,2332 S. Mooney Blvd,Visalia,CA,1959,1973,Sue,,God of Longevity,1959,1973,GL I,,Tea Cup,7.6 cm,5.5 cm,6.3 mm,6.5 mm,3.7 cm,5 mm,G,0,113 ml,142.7 g,
FSL-329,Yuet Sue's Tea House,2332 S. Mooney Blvd.,Visalia,CA,1959,1973,Sue,,Bird and Flower,1959,1973,BF III,2 Chinese characters to either side of address,saucer ,,,,,,,D,0,,,Famous Chinese & American Food; Phone RE-2-8632 (address is partially smudged)
FSL-330,Yuet Sue's Tea House,2332 S. Mooney Blvd,Visalia,CA,1959,1973,Sue,,Bird and Flower,1959,1973,BF III,2 Chinese characters to either of side of address,saucer,,,,,,,D,0,,,Famous Chinese & American Food; Phone RE-2-8632 (address is partially smudged)
FSL-331,Yuet Sue's Tea House,2332 S. Mooney Blvd.,Visalia,CA,1959,1973,Sue,,Bird and Flower,1959,1973,BF III,2 Chinese characters to either side of the address,saucer,,,,,,,D,0,,,Famous Chinese & American Food; Phone RE-2-8632 (address is partially smudged)
FSL-332,Yuet Sue's Tea House ,2332 S. Mooney Blvd.,Visalia,CA ,1959,1973,Sue,,Bird and Flower ,1959,1973,BF III,2 Chinese characters to either side of the address,saucer,,,,,,,D,0,,,Famous Chinese & American Food; Phone RE-2-8632 (address is partially smudged)
FSL-296,Yuet Sue's Tea House Famous Chinese & American Food,2332 S. Mooney Blvd,Visalia,CA,1959,1973,Sue,,God of Longevity,1959,1973,GL-III,,Tea Cup,7.60 cm,5.30 cm,5.20 mm,6.1 mm,3.7 cm,5.00 mm,H,0,110.0 ml,144.30 g,
FSL-307,Yuet Sue's Tea House Famous Chinese food & American Food,2332 S. Mooney Blvd,Visalia,CA,1959,1973,Sue,,God of Longevity,1959,1973,GL II,,Tea Cup,7.6 cm,5.3 cm,5 mm,6.7 mm,3.7 cm,5 mm,G,0,106 ml,148.9 g,Chinese characters left and belore name
FSL-308,Yuet Sue's Tea House Famous Chinese food & American Food,2332 S. Mooney Blvd,Visalia,CA,1959,1973,Sue,,God of Longevity,1959,1973,GL II,,Tea Cup,7.6 cm,5.3 cm,5.8 mm,6.8 mm,3.7 cm,5 mm,G,0,113 ml,141.2 g,Chinese characters left and belore name
FSL-310,,,,,,,,,two women/characters,1959,1973,TW II,Characters and no address,Tea Cup,7.6 cm,5.3 cm,7.1 mm,7.9 mm,3.7 cm,5 mm,G,,106 ml,160.4 g,
